metric,value,unit,note
total_requests,100,count,Number of rows in source CSV
successful_requests,100,count,Rows with status=ok
failed_requests,0,count,Rows with status other than ok
success_rate,100.0,%,successful_requests / total_requests
start_timestamp,2026-07-30T18:00:51.304300,,First request timestamp
end_timestamp,2026-07-30T18:01:52.136181,,Last request timestamp
latency_min,82.42,ms,Minimum Raspberry Pi to ESP32 HTTP latency
latency_max,126.07,ms,Maximum Raspberry Pi to ESP32 HTTP latency
latency_mean,114.017,ms,Average latency
latency_median,114.56,ms,Median latency
latency_std_dev,4.734,ms,Population standard deviation
latency_p90,118.532,ms,90th percentile latency
latency_p95,120.397,ms,95th percentile latency
latency_p99,122.278,ms,99th percentile latency
esp32_free_heap_start,229780,bytes,First successful request heap
esp32_free_heap_end,223416,bytes,Last successful request heap
esp32_free_heap_min,223416,bytes,Minimum free heap during test
esp32_free_heap_max,229780,bytes,Maximum free heap during test
esp32_free_heap_mean,225999.64,bytes,Average free heap
esp32_free_heap_delta_end_minus_start,-6364,bytes,End heap minus start heap
esp32_rssi_min,-41,dBm,Weakest RSSI value
esp32_rssi_max,-30,dBm,Strongest RSSI value
esp32_rssi_mean,-36.49,dBm,Average RSSI
esp32_uptime_start,3495458,ms,First successful response uptime
esp32_uptime_end,3556288,ms,Last successful response uptime
esp32_uptime_delta,60830,ms,Test interval estimated from ESP32 uptime
