elapsed_s,trial,action,angle,duration_ms,heap_before,heap_after,heap_diff,ldr_raw
1.0,1,press_left,60,999.6,330252,330252,0,711
4.0,2,press_right,120,1000.0,329648,329648,0,710
8.0,3,press_left,60,999.99,329648,329648,0,714
11.0,4,press_right,120,1000.0,329648,329648,0,716
15.0,5,press_left,60,999.99,329648,329648,0,713
18.0,6,press_right,120,1000.0,329648,329648,0,710
22.0,7,press_left,60,999.99,329648,329648,0,709
25.0,8,press_right,120,1000.0,329648,329648,0,766
29.0,9,press_left,60,999.99,329648,329648,0,709
32.0,10,press_right,120,1000.0,329648,329648,0,711
36.0,11,press_left,60,999.99,329648,329648,0,712
39.0,12,press_right,120,1000.0,329648,329648,0,714
43.0,13,press_left,60,999.99,329648,329648,0,720
46.0,14,press_right,120,1000.0,329648,329648,0,721
50.0,15,press_left,60,999.99,329648,329648,0,723
53.0,16,press_right,120,1000.0,329648,329648,0,722
57.0,17,press_left,60,999.99,329648,329648,0,725
60.0,18,press_right,120,1000.0,329648,329648,0,741
64.0,19,press_left,60,999.99,329648,329648,0,723
67.0,20,press_right,120,1000.0,329648,329648,0,723
71.0,21,press_left,60,999.99,329648,329648,0,730
74.0,22,press_right,120,1000.0,329648,329648,0,727
78.0,23,press_left,60,999.99,329648,329648,0,727
81.0,24,press_right,120,1000.0,329648,329648,0,727
85.0,25,press_left,60,999.99,329648,329648,0,710
88.0,26,press_right,120,1000.0,329648,329648,0,706
92.0,27,press_left,60,999.99,329648,329648,0,707
95.0,28,press_right,120,1000.0,329648,329648,0,704
99.0,29,press_left,60,999.99,329648,329648,0,711
102.0,30,press_right,120,1000.0,329648,329648,0,706
106.0,31,press_left,60,999.99,329648,329648,0,705
109.0,32,press_right,120,1000.0,329648,329648,0,781
113.0,33,press_left,60,999.99,329648,329648,0,711
116.0,34,press_right,120,1000.0,329648,329648,0,712
120.0,35,press_left,60,999.99,329648,329648,0,708
123.0,36,press_right,120,1000.0,329648,329648,0,718
127.0,37,press_left,60,999.99,329648,329648,0,705
130.0,38,press_right,120,1000.0,329648,329648,0,716
134.0,39,press_left,60,999.99,329648,329648,0,682
137.0,40,press_right,120,1000.0,329648,329648,0,709
141.0,41,press_left,60,999.99,329648,329648,0,710
144.0,42,press_right,120,1000.0,329648,329648,0,710
148.0,43,press_left,60,999.99,329648,329648,0,784
151.0,44,press_right,120,1000.0,329648,329648,0,709
155.0,45,press_left,60,999.99,329648,329648,0,710
158.0,46,press_right,120,1000.0,329648,329648,0,708
162.0,47,press_left,60,999.99,329648,329648,0,706
165.0,48,press_right,120,1000.0,329648,329648,0,710
169.0,49,press_left,60,999.99,329648,329648,0,707
172.0,50,press_right,120,1000.0,329648,329648,0,706
176.0,51,press_left,60,999.99,329648,329648,0,706
179.0,52,press_right,120,1000.0,329648,329648,0,707
183.0,53,press_left,60,999.99,329648,329648,0,709
186.0,54,press_right,120,1000.0,329648,329648,0,710
190.0,55,press_left,60,999.99,329648,329648,0,707
193.0,56,press_right,120,1000.0,329648,329648,0,708
197.0,57,press_left,60,999.99,329648,329648,0,708
200.0,58,press_right,120,1000.0,329648,329648,0,707
204.0,59,press_left,60,999.99,329648,329648,0,704
207.0,60,press_right,120,1000.0,329648,329648,0,710
211.0,61,press_left,60,999.99,329648,329648,0,707
214.0,62,press_right,120,1000.0,329648,329648,0,709
218.0,63,press_left,60,999.99,329648,329648,0,703
221.0,64,press_right,120,1000.0,329648,329648,0,709
225.0,65,press_left,60,999.99,329648,329648,0,707
228.0,66,press_right,120,1000.0,329648,329648,0,711
232.0,67,press_left,60,999.99,329648,329648,0,699
235.0,68,press_right,120,1000.0,329648,329648,0,709
239.0,69,press_left,60,999.99,329648,329648,0,709
242.0,70,press_right,120,1000.0,329648,329648,0,708
246.0,71,press_left,60,999.99,329648,329648,0,710
249.0,72,press_right,120,1000.0,329648,329648,0,710
253.0,73,press_left,60,999.99,329648,329648,0,829
256.0,74,press_right,120,1000.0,329648,329648,0,720
260.0,75,press_left,60,999.99,329648,329648,0,751
263.0,76,press_right,120,1000.0,329648,329648,0,725
267.0,77,press_left,60,999.99,329648,329648,0,720
270.0,78,press_right,120,1000.0,329648,329648,0,721
274.0,79,press_left,60,999.99,329648,329648,0,721
277.0,80,press_right,120,1000.0,329648,329648,0,750
281.0,81,press_left,60,999.99,329648,329648,0,733
284.0,82,press_right,120,1000.0,329648,329648,0,715
288.0,83,press_left,60,999.99,329648,329648,0,720
291.0,84,press_right,120,1000.0,329648,329648,0,720
295.0,85,press_left,60,999.99,329648,329648,0,722
298.0,86,press_right,120,1000.0,329648,329648,0,721
302.0,87,press_left,60,999.99,329648,329648,0,718
305.0,88,press_right,120,1000.0,329648,329648,0,719
309.0,89,press_left,60,999.99,329648,329648,0,715
312.0,90,press_right,120,1000.0,329648,329648,0,721
316.0,91,press_left,60,999.99,329648,329648,0,725
319.0,92,press_right,120,1000.0,329648,329648,0,727
323.0,93,press_left,60,999.99,329648,329648,0,721
326.0,94,press_right,120,1000.0,329648,329648,0,719
330.0,95,press_left,60,999.99,329648,329648,0,746
333.0,96,press_right,120,1000.0,329648,329648,0,715
337.0,97,press_left,60,999.99,329648,329648,0,727
340.0,98,press_right,120,1000.0,329648,329648,0,738
344.0,99,press_left,60,999.99,329648,329648,0,708
347.0,100,press_right,120,1000.0,329648,329648,0,708
351.0,101,press_left,60,999.99,329648,329648,0,710
354.0,102,press_right,120,1000.0,329648,329648,0,707
358.0,103,press_left,60,999.99,329648,329648,0,711
361.0,104,press_right,120,1000.0,329648,329648,0,710
365.0,105,press_left,60,999.99,329648,329648,0,715
368.0,106,press_right,120,1000.0,329648,329648,0,711
372.0,107,press_left,60,999.99,329648,329648,0,707
375.0,108,press_right,120,1000.0,329648,329648,0,710
379.0,109,press_left,60,999.99,329648,329648,0,710
382.0,110,press_right,120,1000.0,329648,329648,0,711
386.0,111,press_left,60,999.99,329648,329648,0,709
389.0,112,press_right,120,1000.0,329648,329648,0,709
393.0,113,press_left,60,999.99,329648,329648,0,845
396.0,114,press_right,120,1000.0,329648,329648,0,755
400.0,115,press_left,60,999.99,329648,329648,0,714
403.0,116,press_right,120,1000.0,329648,329648,0,714
407.0,117,press_left,60,999.99,329648,329648,0,758
410.0,118,press_right,120,1000.0,329648,329648,0,820
414.0,119,press_left,60,999.99,329648,329648,0,827
417.0,120,press_right,120,1000.0,329648,329648,0,826
421.0,121,press_left,60,999.99,329648,329648,0,827
424.0,122,press_right,120,1000.0,329648,329648,0,826
428.0,123,press_left,60,999.99,329648,329648,0,831
431.0,124,press_right,120,1000.0,329648,329648,0,825
435.0,125,press_left,60,999.99,329648,329648,0,831
438.0,126,press_right,120,1000.0,329648,329648,0,832
442.0,127,press_left,60,999.99,329648,329648,0,829
445.0,128,press_right,120,1000.0,329648,329648,0,749
449.0,129,press_left,60,999.99,329648,329648,0,723
452.0,130,press_right,120,1000.0,329648,329648,0,746
456.0,131,press_left,60,999.99,329648,329648,0,730
459.0,132,press_right,120,1000.0,329648,329648,0,723
463.0,133,press_left,60,999.99,329648,329648,0,727
466.0,134,press_right,120,1000.0,329648,329648,0,726
470.0,135,press_left,60,999.99,329648,329648,0,747
473.0,136,press_right,120,1000.0,329648,329648,0,745
477.0,137,press_left,60,999.99,329648,329648,0,736
480.0,138,press_right,120,1000.0,329648,329648,0,731
484.0,139,press_left,60,999.99,329648,329648,0,752
487.0,140,press_right,120,1000.0,329648,329648,0,752
491.0,141,press_left,60,999.99,329648,329648,0,734
494.0,142,press_right,120,1000.0,329648,329648,0,735
498.0,143,press_left,60,999.99,329648,329648,0,738
501.0,144,press_right,120,1000.0,329648,329648,0,745
505.0,145,press_left,60,999.99,329648,329648,0,752
508.0,146,press_right,120,1000.0,329648,329648,0,716
512.0,147,press_left,60,999.99,329648,329648,0,714
515.0,148,press_right,120,1000.0,329648,329648,0,718
519.0,149,press_left,60,999.99,329648,329648,0,714
522.0,150,press_right,120,1000.0,329648,329648,0,711
526.0,151,press_left,60,999.99,329648,329648,0,714
529.0,152,press_right,120,1000.0,329648,329648,0,716
533.0,153,press_left,60,999.99,329648,329648,0,718
536.0,154,press_right,120,1000.0,329648,329648,0,712
540.0,155,press_left,60,999.99,329648,329648,0,715
543.0,156,press_right,120,1000.0,329648,329648,0,711
547.0,157,press_left,60,999.99,329648,329648,0,712
550.0,158,press_right,120,1000.0,329648,329648,0,710
554.0,159,press_left,60,999.99,329648,329648,0,715
557.0,160,press_right,120,1000.0,329648,329648,0,711
561.0,161,press_left,60,999.99,329648,329648,0,715
564.0,162,press_right,120,1000.0,329648,329648,0,712
568.0,163,press_left,60,999.99,329648,329648,0,711
571.0,164,press_right,120,1000.0,329648,329648,0,710
575.0,165,press_left,60,999.99,329648,329648,0,713
578.0,166,press_right,120,1000.0,329648,329648,0,715
582.0,167,press_left,60,999.99,329648,329648,0,720
585.0,168,press_right,120,1000.0,329648,329648,0,745
589.0,169,press_left,60,999.99,329648,329648,0,746
592.0,170,press_right,120,1000.0,329648,329648,0,746
596.0,171,press_left,60,999.99,329648,329648,0,745
599.0,172,press_right,120,1000.0,329648,329648,0,745
