metric,value
date,2026-08-05
device,ESP32
servo,MG90S
servo_pin,GPIO18
ldr_pin,GPIO34
test_duration_label,10 minutes
first_elapsed_s,1.0
last_elapsed_s,599.0
total_trials,172
press_left_trials,86
press_right_trials,86
duration_ms_min,999.6
duration_ms_max,1000.0
duration_ms_avg,999.993
initial_free_heap,330252
final_free_heap,329648
heap_change_initial_to_final,-604
heap_diff_min,0
heap_diff_max,0
heap_diff_avg,0
ldr_raw_min,682
ldr_raw_max,845
ldr_raw_avg,727.314
temperature_before_c,26.5
temperature_5min_c,27.6
temperature_10min_c,27.8
temperature_rise_10min_c,1.3
observation,"No overheating, no ESP32 reboot, no servo movement failure observed"
