index,timestamp,status,latency_ms,esp32_free_heap,esp32_rssi,esp32_uptime_ms,error
1,2026-07-30T18:00:51.304300,ok,82.42,229780,-40,3495458,
2,2026-07-30T18:00:51.919593,ok,115.16,227104,-39,3496074,
3,2026-07-30T18:00:52.531429,ok,111.73,229276,-41,3496688,
4,2026-07-30T18:00:53.147989,ok,116.46,229000,-38,3497303,
5,2026-07-30T18:00:53.761418,ok,113.32,228744,-40,3497918,
6,2026-07-30T18:00:54.377729,ok,116.21,228492,-40,3498534,
7,2026-07-30T18:00:54.994626,ok,116.8,228232,-36,3499148,
8,2026-07-30T18:00:55.605436,ok,110.71,227972,-39,3499762,
9,2026-07-30T18:00:56.223464,ok,117.93,227716,-38,3500378,
10,2026-07-30T18:00:56.838111,ok,114.53,227444,-41,3500993,
11,2026-07-30T18:00:57.449432,ok,111.2,227184,-39,3501607,
12,2026-07-30T18:00:58.064355,ok,114.79,226920,-41,3502221,
13,2026-07-30T18:00:58.680838,ok,116.36,226668,-40,3502835,
14,2026-07-30T18:00:59.295576,ok,114.62,226416,-40,3503451,
15,2026-07-30T18:00:59.907096,ok,111.4,226156,-39,3504063,
16,2026-07-30T18:01:00.524892,ok,117.67,225892,-39,3504678,
17,2026-07-30T18:01:01.136678,ok,111.66,225904,-40,3505293,
18,2026-07-30T18:01:01.754095,ok,117.3,225896,-39,3505910,
19,2026-07-30T18:01:02.364482,ok,110.26,225880,-40,3506521,
20,2026-07-30T18:01:02.986848,ok,122.24,225884,-39,3507138,
21,2026-07-30T18:01:03.592722,ok,105.75,225880,-41,3507750,
22,2026-07-30T18:01:04.211392,ok,118.53,225888,-38,3508366,
23,2026-07-30T18:01:04.822025,ok,110.5,225292,-39,3508979,
24,2026-07-30T18:01:05.437102,ok,114.95,225884,-40,3509594,
25,2026-07-30T18:01:06.050210,ok,112.98,225888,-40,3510206,
26,2026-07-30T18:01:06.665481,ok,115.14,225884,-39,3510822,
27,2026-07-30T18:01:07.284530,ok,118.92,225888,-39,3511436,
28,2026-07-30T18:01:07.893428,ok,108.78,225888,-39,3512050,
29,2026-07-30T18:01:08.512336,ok,118.79,225888,-37,3512666,
30,2026-07-30T18:01:09.126084,ok,113.62,225876,-38,3513282,
31,2026-07-30T18:01:09.737642,ok,111.43,225876,-38,3513894,
32,2026-07-30T18:01:10.351474,ok,113.69,225888,-36,3514508,
33,2026-07-30T18:01:10.977677,ok,126.07,225888,-37,3515133,
34,2026-07-30T18:01:11.583472,ok,105.67,225888,-37,3515738,
35,2026-07-30T18:01:12.201775,ok,118.17,225884,-38,3516352,
36,2026-07-30T18:01:12.816823,ok,114.91,225880,-37,3516970,
37,2026-07-30T18:01:13.424590,ok,107.64,225872,-37,3517581,
38,2026-07-30T18:01:14.040137,ok,115.43,225880,-39,3518196,
39,2026-07-30T18:01:14.653186,ok,112.92,225868,-37,3518810,
40,2026-07-30T18:01:15.263866,ok,110.55,225876,-38,3519420,
41,2026-07-30T18:01:15.882078,ok,118.02,225876,-38,3520038,
42,2026-07-30T18:01:16.499335,ok,117.13,225868,-38,3520654,
43,2026-07-30T18:01:17.112356,ok,112.9,225888,-39,3521268,
44,2026-07-30T18:01:17.727371,ok,114.9,223440,-38,3521883,
45,2026-07-30T18:01:18.348075,ok,120.58,225880,-38,3522496,
46,2026-07-30T18:01:18.955962,ok,107.77,225888,-38,3523112,
47,2026-07-30T18:01:19.568283,ok,112.2,225888,-38,3523725,
48,2026-07-30T18:01:20.183972,ok,115.57,225268,-39,3524340,
49,2026-07-30T18:01:20.801091,ok,117.0,225880,-37,3524954,
50,2026-07-30T18:01:21.408994,ok,107.78,225888,-38,3525565,
51,2026-07-30T18:01:22.027454,ok,118.32,225888,-37,3526183,
52,2026-07-30T18:01:22.642179,ok,114.59,225876,-38,3526796,
53,2026-07-30T18:01:23.255747,ok,113.44,225876,-38,3527412,
54,2026-07-30T18:01:23.871926,ok,116.05,225892,-39,3528026,
55,2026-07-30T18:01:24.490606,ok,118.55,225880,-38,3528641,
56,2026-07-30T18:01:25.098966,ok,108.24,225880,-36,3529254,
57,2026-07-30T18:01:25.714324,ok,115.23,225884,-35,3529869,
58,2026-07-30T18:01:26.330353,ok,115.9,225872,-36,3530483,
59,2026-07-30T18:01:26.941405,ok,110.92,225880,-34,3531097,
60,2026-07-30T18:01:27.555921,ok,114.39,223444,-35,3531712,
61,2026-07-30T18:01:28.169929,ok,113.87,225880,-35,3532326,
62,2026-07-30T18:01:28.789303,ok,119.24,225888,-33,3532941,
63,2026-07-30T18:01:29.399941,ok,110.51,225880,-33,3533556,
64,2026-07-30T18:01:30.015805,ok,115.74,223432,-34,3534169,
65,2026-07-30T18:01:30.629255,ok,113.32,225888,-35,3534785,
66,2026-07-30T18:01:31.242845,ok,113.46,225864,-34,3535399,
67,2026-07-30T18:01:31.863517,ok,120.53,225884,-33,3536017,
68,2026-07-30T18:01:32.474015,ok,110.37,225888,-34,3536627,
69,2026-07-30T18:01:33.085829,ok,111.69,225884,-34,3537240,
70,2026-07-30T18:01:33.701043,ok,115.08,225880,-34,3537857,
71,2026-07-30T18:01:34.316781,ok,115.6,223432,-34,3538473,
72,2026-07-30T18:01:34.935431,ok,118.5,225876,-33,3539089,
73,2026-07-30T18:01:35.550453,ok,114.89,225880,-34,3539706,
74,2026-07-30T18:01:36.160451,ok,109.87,225888,-35,3540315,
75,2026-07-30T18:01:36.774480,ok,113.9,225888,-35,3540928,
76,2026-07-30T18:01:37.389130,ok,114.52,225876,-34,3541545,
77,2026-07-30T18:01:38.001205,ok,111.94,225880,-34,3542157,
78,2026-07-30T18:01:38.617989,ok,116.66,225896,-34,3542771,
79,2026-07-30T18:01:39.234391,ok,116.27,225884,-33,3543385,
80,2026-07-30T18:01:39.846342,ok,111.81,225272,-34,3544000,
81,2026-07-30T18:01:40.458981,ok,112.51,225868,-33,3544614,
82,2026-07-30T18:01:41.075744,ok,116.64,225876,-34,3545228,
83,2026-07-30T18:01:41.686846,ok,110.98,225880,-33,3545842,
84,2026-07-30T18:01:42.304275,ok,117.3,225892,-33,3546458,
85,2026-07-30T18:01:42.917355,ok,112.95,223444,-34,3547073,
86,2026-07-30T18:01:43.537876,ok,120.39,225868,-34,3547687,
87,2026-07-30T18:01:44.147005,ok,109.0,225876,-33,3548301,
88,2026-07-30T18:01:44.761168,ok,114.04,225880,-33,3548915,
89,2026-07-30T18:01:45.376581,ok,115.28,225880,-34,3549532,
90,2026-07-30T18:01:45.988931,ok,112.22,225868,-34,3550143,
91,2026-07-30T18:01:46.602627,ok,113.57,225872,-34,3550758,
92,2026-07-30T18:01:47.223315,ok,120.56,225880,-34,3551376,
93,2026-07-30T18:01:47.834594,ok,111.15,225896,-35,3551989,
94,2026-07-30T18:01:48.448840,ok,114.12,225272,-34,3552604,
95,2026-07-30T18:01:49.064654,ok,115.69,225876,-34,3553219,
96,2026-07-30T18:01:49.677879,ok,113.1,225888,-34,3553832,
97,2026-07-30T18:01:50.292702,ok,114.7,225876,-35,3554448,
98,2026-07-30T18:01:50.905605,ok,112.78,225884,-34,3555060,
99,2026-07-30T18:01:51.520563,ok,114.83,225880,-30,3555674,
100,2026-07-30T18:01:52.136181,ok,115.48,223416,-32,3556288,
