timestamp,protocol,run_id,seq,command_id,status,rtt_ms,esp_processing_us,esp_free_heap,esp_min_free_heap,esp_max_alloc_heap,rssi_dbm,qos,error
2026-09-04T01:33:05.993366,MQTT_QOS0_DRYRUN,1,1,mqtt-qos0-dryrun-1-1,success,155.778,413,226112,220068,110580,-44,0,
2026-09-04T01:33:06.262713,MQTT_QOS0_DRYRUN,1,2,mqtt-qos0-dryrun-1-2,success,69.236,410,226112,220068,110580,-43,0,
2026-09-04T01:33:06.483139,MQTT_QOS0_DRYRUN,1,3,mqtt-qos0-dryrun-1-3,success,20.331,420,226112,220068,110580,-44,0,
2026-09-04T01:33:06.776921,MQTT_QOS0_DRYRUN,1,4,mqtt-qos0-dryrun-1-4,success,93.697,463,223676,220068,110580,-42,0,
2026-09-04T01:33:07.077557,MQTT_QOS0_DRYRUN,1,5,mqtt-qos0-dryrun-1-5,success,100.539,406,226112,220068,110580,-43,0,
2026-09-04T01:33:07.386444,MQTT_QOS0_DRYRUN,1,6,mqtt-qos0-dryrun-1-6,success,108.792,450,226112,220068,110580,-42,0,
2026-09-04T01:33:07.692653,MQTT_QOS0_DRYRUN,1,7,mqtt-qos0-dryrun-1-7,success,106.122,461,226112,220068,110580,-41,0,
2026-09-04T01:33:07.999485,MQTT_QOS0_DRYRUN,1,8,mqtt-qos0-dryrun-1-8,success,106.732,413,226112,220068,110580,-43,0,
2026-09-04T01:33:08.312894,MQTT_QOS0_DRYRUN,1,9,mqtt-qos0-dryrun-1-9,success,113.31,406,226112,220068,110580,-43,0,
2026-09-04T01:33:08.623115,MQTT_QOS0_DRYRUN,1,10,mqtt-qos0-dryrun-1-10,success,110.136,409,226112,220068,110580,-43,0,
2026-09-04T01:33:08.925256,MQTT_QOS0_DRYRUN,1,11,mqtt-qos0-dryrun-1-11,success,102.051,421,226112,220068,110580,-43,0,
2026-09-04T01:33:09.232540,MQTT_QOS0_DRYRUN,1,12,mqtt-qos0-dryrun-1-12,success,107.188,424,226112,220068,110580,-42,0,
2026-09-04T01:33:09.539851,MQTT_QOS0_DRYRUN,1,13,mqtt-qos0-dryrun-1-13,success,107.225,418,226112,220068,110580,-44,0,
2026-09-04T01:33:09.847141,MQTT_QOS0_DRYRUN,1,14,mqtt-qos0-dryrun-1-14,success,107.207,407,226112,220068,110580,-42,0,
2026-09-04T01:33:10.156797,MQTT_QOS0_DRYRUN,1,15,mqtt-qos0-dryrun-1-15,success,109.55,406,226112,220068,110580,-42,0,
2026-09-04T01:33:10.461238,MQTT_QOS0_DRYRUN,1,16,mqtt-qos0-dryrun-1-16,success,104.33,411,226112,220068,110580,-42,0,
2026-09-04T01:33:10.680467,MQTT_QOS0_DRYRUN,1,17,mqtt-qos0-dryrun-1-17,success,19.126,403,226112,220068,110580,-42,0,
2026-09-04T01:33:10.973915,MQTT_QOS0_DRYRUN,1,18,mqtt-qos0-dryrun-1-18,success,93.321,406,226112,220068,110580,-42,0,
2026-09-04T01:33:11.280791,MQTT_QOS0_DRYRUN,1,19,mqtt-qos0-dryrun-1-19,success,106.756,405,226112,220068,110580,-42,0,
2026-09-04T01:33:11.591628,MQTT_QOS0_DRYRUN,1,20,mqtt-qos0-dryrun-1-20,success,110.734,406,226112,220068,110580,-41,0,
2026-09-04T01:33:11.803964,MQTT_QOS0_DRYRUN,1,21,mqtt-qos0-dryrun-1-21,success,12.211,409,226112,220068,110580,-44,0,
2026-09-04T01:33:12.097159,MQTT_QOS0_DRYRUN,1,22,mqtt-qos0-dryrun-1-22,success,93.079,406,226112,220068,110580,-49,0,
2026-09-04T01:33:12.409444,MQTT_QOS0_DRYRUN,1,23,mqtt-qos0-dryrun-1-23,success,112.173,407,226112,220068,110580,-43,0,
2026-09-04T01:33:12.714503,MQTT_QOS0_DRYRUN,1,24,mqtt-qos0-dryrun-1-24,success,104.953,405,226112,220068,110580,-40,0,
2026-09-04T01:33:13.018467,MQTT_QOS0_DRYRUN,1,25,mqtt-qos0-dryrun-1-25,success,103.851,418,226112,220068,110580,-38,0,
2026-09-04T01:33:13.333588,MQTT_QOS0_DRYRUN,1,26,mqtt-qos0-dryrun-1-26,success,115.01,406,226112,220068,110580,-36,0,
2026-09-04T01:33:13.635512,MQTT_QOS0_DRYRUN,1,27,mqtt-qos0-dryrun-1-27,success,101.825,424,226112,220068,110580,-35,0,
2026-09-04T01:33:13.940403,MQTT_QOS0_DRYRUN,1,28,mqtt-qos0-dryrun-1-28,success,104.782,426,226112,220068,110580,-39,0,
2026-09-04T01:33:14.250658,MQTT_QOS0_DRYRUN,1,29,mqtt-qos0-dryrun-1-29,success,110.145,412,226112,220068,110580,-39,0,
2026-09-04T01:33:14.553185,MQTT_QOS0_DRYRUN,1,30,mqtt-qos0-dryrun-1-30,success,102.425,405,226112,220068,110580,-37,0,
