index,timestamp,status,latency_ms,esp32_free_heap,esp32_rssi,esp32_uptime_ms,error
1,2026-07-30T17:56:33.147751,ok,344.6,229776,-36,3237307,
2,2026-07-30T17:56:33.759108,ok,111.22,229544,-36,3237926,
3,2026-07-30T17:56:34.374473,ok,115.24,229268,-33,3238538,
4,2026-07-30T17:56:34.987091,ok,112.51,229016,-34,3239154,
5,2026-07-30T17:56:35.601682,ok,114.47,228724,-36,3239768,
6,2026-07-30T17:56:36.216967,ok,115.17,228492,-36,3240382,
7,2026-07-30T17:56:36.831075,ok,113.99,228236,-34,3240997,
8,2026-07-30T17:56:37.449280,ok,118.09,227976,-36,3241612,
9,2026-07-30T17:56:38.062623,ok,113.23,227712,-35,3242225,
10,2026-07-30T17:56:38.676059,ok,113.3,227460,-35,3242842,
11,2026-07-30T17:56:39.290738,ok,114.55,227180,-35,3243455,
12,2026-07-30T17:56:39.903226,ok,112.35,226932,-36,3244069,
13,2026-07-30T17:56:40.518271,ok,114.92,226680,-34,3244684,
14,2026-07-30T17:56:41.131198,ok,112.81,226420,-34,3245297,
15,2026-07-30T17:56:41.777316,ok,146.0,226140,-35,3245914,
16,2026-07-30T17:56:42.289252,ok,11.82,225900,-35,3246456,
17,2026-07-30T17:56:42.875508,ok,86.13,225892,-34,3247038,
18,2026-07-30T17:56:43.485033,ok,109.4,225900,-35,3247651,
19,2026-07-30T17:56:44.104352,ok,119.2,225880,-33,3248269,
20,2026-07-30T17:56:44.719678,ok,115.21,225876,-33,3248882,
21,2026-07-30T17:56:45.333459,ok,113.66,225888,-34,3249497,
22,2026-07-30T17:56:45.946885,ok,113.29,225888,-35,3250111,
23,2026-07-30T17:56:46.558646,ok,111.64,225280,-34,3250724,
24,2026-07-30T17:56:47.174231,ok,115.45,225896,-34,3251340,
25,2026-07-30T17:56:47.787739,ok,113.39,225872,-34,3251954,
26,2026-07-30T17:56:48.402363,ok,114.51,225856,-33,3252569,
27,2026-07-30T17:56:49.016522,ok,114.04,225868,-34,3253183,
28,2026-07-30T17:56:49.630528,ok,113.89,225884,-34,3253797,
29,2026-07-30T17:56:50.247717,ok,117.07,225864,-34,3254411,
30,2026-07-30T17:56:50.860141,ok,112.3,225872,-35,3255026,
