timestamp,sequence,cycle,action,status,total_e2e_ms,programmed_delay_ms,non_programmed_remainder_ms,free_heap,error
2026-09-06T01:03:54.798845,1,1,on,success,1037.541,1000.000,37.541,223784,
2026-09-06T01:03:57.336521,2,1,off,success,1030.442,1000.000,30.442,223496,
2026-09-06T01:03:59.867108,3,2,on,success,1030.974,1000.000,30.974,223268,
2026-09-06T01:04:02.398230,4,2,off,success,1032.605,1000.000,32.605,222976,
2026-09-06T01:04:04.930982,5,3,on,success,1031.647,1000.000,31.647,222760,
2026-09-06T01:04:07.462779,6,3,off,success,1035.003,1000.000,35.003,222444,
2026-09-06T01:04:09.997937,7,4,on,success,1040.075,1000.000,40.075,222216,
2026-09-06T01:04:12.538164,8,4,off,success,1031.684,1000.000,31.684,221948,
2026-09-06T01:04:15.069998,9,5,on,success,1031.702,1000.000,31.702,221716,
2026-09-06T01:04:17.601854,10,5,off,success,1031.253,1000.000,31.253,221424,
2026-09-06T01:04:20.133263,11,6,on,success,1034.292,1000.000,34.292,221200,
2026-09-06T01:04:22.667710,12,6,off,success,1029.883,1000.000,29.883,220904,
2026-09-06T01:04:25.197747,13,7,on,success,1032.045,1000.000,32.045,220680,
2026-09-06T01:04:27.729943,14,7,off,success,1030.788,1000.000,30.788,220384,
2026-09-06T01:04:30.260884,15,8,on,success,1029.768,1000.000,29.768,220160,
2026-09-06T01:04:32.790819,16,8,off,success,1029.807,1000.000,29.807,220124,
2026-09-06T01:04:35.320772,17,9,on,success,1028.853,1000.000,28.853,220144,
2026-09-06T01:04:37.849773,18,9,off,success,1038.661,1000.000,38.661,220120,
2026-09-06T01:04:40.388581,19,10,on,success,1028.087,1000.000,28.087,220168,
2026-09-06T01:04:42.916815,20,10,off,success,1029.826,1000.000,29.826,220120,
